CustomerID,Age,Annual_Income_k$,Spending_Score,Purchase_Frequency,Total_Spent
CUST-1077,51,67,10,31,8080
CUST-1078,27,74,56,47,230
CUST-1079,53,122,30,36,3083
CUST-1080,31,122,5,45,4378
CUST-1081,48,19,33,24,7226
CUST-1082,65,117,65,15,8330
CUST-1083,32,82,18,29,7794
CUST-1084,25,20,96,8,6740
CUST-1085,31,123,49,5,5568
CUST-1086,40,110,11,29,1020
CUST-1087,57,130,85,47,7664
CUST-1088,38,108,26,4,8784
CUST-1089,33,61,63,12,9423
CUST-1090,62,113,89,45,8602
CUST-1091,35,69,86,2,9030
CUST-1092,64,54,59,27,3341
CUST-1093,41,66,27,31,645
CUST-1094,43,30,49,36,4446
CUST-1095,42,27,77,36,3910
CUST-1096,62,128,33,26,7306
CUST-1097,58,138,98,43,9105
CUST-1098,46,120,99,27,2132
CUST-1099,32,44,1,5,8536
CUST-1100,62,33,21,20,371
CUST-1101,18,31,55,11,3611
CUST-1102,42,134,6,10,1871
CUST-1103,24,77,92,40,9554
CUST-1104,26,33,81,38,4461
CUST-1105,41,106,69,6,7169
CUST-1106,18,72,95,8,1020
CUST-1107,61,69,5,23,8290
CUST-1108,25,104,3,47,3530
CUST-1109,41,115,53,26,4535
CUST-1110,28,104,23,46,3860
CUST-1111,68,131,53,43,2150
CUST-1112,34,76,37,12,1265
CUST-1113,25,37,74,26,8667
CUST-1114,52,23,74,13,2133
CUST-1115,52,26,83,40,6567
CUST-1116,50,131,17,18,245
CUST-1117,22,15,85,25,4488
CUST-1118,59,72,78,33,7932
CUST-1119,56,136,73,47,8723
CUST-1120,58,15,1,40,8996
CUST-1121,45,125,51,43,8273
CUST-1122,24,48,45,12,2732
CUST-1123,26,110,77,44,4594
CUST-1124,25,132,4,36,8156
CUST-1125,29,62,62,48,7611
CUST-1126,51,103,65,4,9255
CUST-1127,50,118,32,5,1928
CUST-1128,65,123,34,37,9230
CUST-1129,40,131,92,8,4905
CUST-1130,41,15,95,42,906
CUST-1131,54,30,72,49,9755
CUST-1132,52,75,39,28,7586
CUST-1133,61,117,26,31,8302
CUST-1134,57,78,34,9,1968
CUST-1135,39,77,54,29,7978
CUST-1136,44,83,3,14,5790
CUST-1137,52,36,50,40,7927
CUST-1138,18,107,12,41,5529
CUST-1139,52,133,65,22,9176
CUST-1140,54,81,54,11,3664
CUST-1141,64,90,5,23,1489
CUST-1142,31,40,94,1,7374
CUST-1143,20,30,94,46,924
CUST-1144,18,65,57,37,2365
CUST-1145,22,115,17,21,1036
CUST-1146,43,100,47,26,6502
CUST-1147,31,71,23,46,3945
CUST-1148,56,43,79,36,1896
CUST-1149,44,92,85,23,8345
CUST-1150,26,106,14,1,7314
CUST-1151,32,83,66,40,826
CUST-1152,32,61,75,15,2836
CUST-1153,43,127,51,21,2013
CUST-1154,59,108,38,47,9888
CUST-1155,30,124,64,9,7757
CUST-1156,68,76,98,9,2566
CUST-1157,49,130,38,10,9141
CUST-1158,56,83,50,26,7412
CUST-1159,66,90,98,41,8294
CUST-1160,69,30,82,35,8006
CUST-1161,49,104,30,25,4976
CUST-1162,21,104,79,26,7387
CUST-1163,47,62,91,11,992
CUST-1164,54,99,51,38,4775
CUST-1165,40,53,63,2,2033
CUST-1166,56,114,98,7,1480
CUST-1167,62,47,52,18,1390
CUST-1168,32,108,38,27,1740
CUST-1169,60,115,97,34,7590
CUST-1170,46,37,88,27,9279
CUST-1171,53,136,79,17,1318
CUST-1172,30,24,30,43,5116
CUST-1173,49,132,51,44,6981
CUST-1174,24,83,81,24,9647
CUST-1175,68,114,5,25,9852
CUST-1176,39,48,29,7,9710
CUST-1177,45,66,4,6,1054
CUST-1178,19,109,10,24,9275
CUST-1179,59,24,56,33,7391
CUST-1180,62,136,17,49,1074
CUST-1181,23,33,74,29,4233
CUST-1182,45,72,17,43,5470
CUST-1183,45,110,84,22,4072
CUST-1184,61,15,88,26,5395
CUST-1185,61,134,69,28,9205
CUST-1186,37,83,34,21,8328
CUST-1187,47,123,6,49,3120
CUST-1188,28,18,53,7,9087
CUST-1189,45,30,66,17,4136
CUST-1190,42,38,77,20,5168
CUST-1191,56,94,43,41,5333
CUST-1192,50,133,75,49,9616
CUST-1193,18,16,23,20,417
CUST-1194,44,127,55,22,2496
CUST-1195,69,106,80,28,2262
CUST-1196,30,46,95,40,2845
CUST-1197,58,105,75,49,1691
CUST-1198,20,98,16,7,6283
CUST-1199,56,38,8,1,4030
CUST-1200,23,26,4,32,1412
CUST-1201,25,64,4,13,9577
CUST-1202,44,49,56,30,4411
CUST-1203,26,138,25,23,7414
CUST-1204,54,47,67,19,2483
CUST-1205,50,47,96,32,3339
CUST-1206,68,75,67,30,2239
CUST-1207,59,65,27,29,1804
CUST-1208,61,57,93,49,7024
CUST-1209,41,115,32,45,462
CUST-1210,32,26,50,29,2704
CUST-1211,49,81,61,30,4386
CUST-1212,49,79,51,16,3838
CUST-1213,41,47,19,40,2569
CUST-1214,58,54,21,19,4895
CUST-1215,69,88,5,18,6250
CUST-1216,66,57,82,1,656
CUST-1217,66,58,92,14,9117
CUST-1218,69,43,42,47,2908
CUST-1219,29,27,61,2,5250
CUST-1220,56,26,22,28,7661
CUST-1221,19,109,21,49,2819
CUST-1222,20,60,70,30,6606
CUST-1223,66,16,1,38,3841
CUST-1224,54,139,5,4,9866
CUST-1225,66,129,12,1,4098
CUST-1226,34,128,90,8,2503
CUST-1227,66,49,46,29,8880
CUST-1228,19,101,34,39,9839
CUST-1229,19,95,49,3,394
CUST-1230,45,104,78,32,5443
CUST-1231,40,22,90,10,9982
CUST-1232,54,107,45,10,1236
CUST-1233,49,40,27,19,2164
CUST-1234,50,88,73,46,7109
CUST-1235,18,104,26,34,4643
CUST-1236,36,48,47,33,1107
CUST-1237,19,129,86,23,5545
CUST-1238,61,119,56,28,5452
CUST-1239,43,21,94,32,9539
CUST-1240,49,82,63,7,1535
CUST-1241,23,72,48,29,671
CUST-1242,49,131,61,8,2482
CUST-1243,21,128,81,1,9537
CUST-1244,28,123,26,3,5184
CUST-1245,34,89,36,24,377
CUST-1246,55,43,1,23,7159
CUST-1247,41,134,8,8,1987
CUST-1248,22,50,99,47,1365
CUST-1249,69,103,52,37,7591
CUST-1250,51,35,79,3,1140
CUST-1251,23,139,47,33,9209
CUST-1252,39,135,56,28,8173
CUST-1253,28,50,86,47,9177
CUST-1254,65,24,14,8,2852
CUST-1255,33,115,90,34,8313
CUST-1256,50,87,28,35,4669
CUST-1257,26,38,87,32,6453
CUST-1258,23,78,78,24,2453
CUST-1259,33,113,88,14,7537
CUST-1260,46,63,2,32,4899
CUST-1261,20,113,26,46,786
CUST-1262,37,126,14,43,8576
CUST-1263,53,50,59,16,4911
CUST-1264,36,96,56,4,9054
CUST-1265,43,127,7,37,5446
CUST-1266,20,117,3,21,5143
CUST-1267,36,110,23,14,2528
CUST-1268,37,38,18,31,5226
CUST-1269,49,37,38,48,8320
CUST-1270,24,76,99,18,9198
CUST-1271,69,110,15,7,7913
CUST-1272,58,51,64,10,9745
CUST-1273,50,26,89,7,3456
CUST-1274,57,127,28,33,8807
CUST-1275,56,69,74,23,7366
CUST-1276,35,27,39,21,6640
CUST-1277,57,37,57,19,138
CUST-1278,18,103,17,48,3442
CUST-1279,28,113,86,19,9178
CUST-1280,45,119,90,36,2944
CUST-1281,42,44,44,29,1198
CUST-1282,67,31,25,18,7127
CUST-1283,40,127,17,2,1923
CUST-1284,48,76,13,1,3255
CUST-1285,47,98,84,47,3193
CUST-1286,59,126,25,5,5758
CUST-1287,52,103,68,20,3878
CUST-1288,24,100,10,11,2996
CUST-1289,33,27,67,42,1088
CUST-1290,43,73,18,2,4216
CUST-1291,65,33,86,3,6546
CUST-1292,69,63,34,23,4279
CUST-1293,66,114,8,12,1782
CUST-1294,19,26,40,20,5726
CUST-1295,18,75,83,5,7524
CUST-1296,65,119,42,37,1033
CUST-1297,29,33,41,38,3698
CUST-1298,22,90,6,30,2080
CUST-1299,54,23,52,9,3156
CUST-1300,49,85,26,34,9084
CUST-1301,26,42,64,44,891
CUST-1302,58,92,98,35,5490
CUST-1303,52,109,59,22,6735
CUST-1304,36,66,56,44,2355
CUST-1305,65,97,59,24,3710
CUST-1306,33,136,70,17,1707
CUST-1307,20,125,33,10,5279
CUST-1308,37,30,53,30,6673
CUST-1309,41,131,22,46,1084
CUST-1310,50,83,21,23,5876
CUST-1311,41,113,70,32,3776
CUST-1312,69,26,70,17,3480
CUST-1313,28,39,4,17,8811
CUST-1314,66,66,94,14,8882
CUST-1315,25,137,75,9,1150
CUST-1316,53,99,62,40,3733
CUST-1317,55,114,62,2,6442
CUST-1318,57,67,94,45,1059
CUST-1319,37,37,95,25,6159
CUST-1320,52,30,24,39,8984
CUST-1321,65,71,55,9,5755
CUST-1322,42,53,9,22,4573
CUST-1323,52,123,3,43,3046
CUST-1324,42,67,31,46,7825
CUST-1325,46,56,40,4,626
CUST-1326,35,72,36,26,3324
CUST-1327,63,53,24,29,1975
CUST-1328,35,28,95,45,1863
CUST-1329,19,109,6,34,8812
CUST-1330,52,136,66,23,5897
CUST-1331,33,19,84,37,9308
CUST-1332,58,49,92,11,7199
CUST-1333,53,101,75,6,5209
CUST-1334,50,107,4,18,6744
CUST-1335,21,121,79,21,216
CUST-1336,50,89,6,42,2533
CUST-1337,31,32,94,36,5563
CUST-1338,38,125,51,41,683
CUST-1339,65,90,62,38,8686
CUST-1340,37,23,57,34,3888
CUST-1341,25,88,66,17,4267
CUST-1342,24,72,79,37,8565
CUST-1343,20,122,75,25,1489
CUST-1344,34,31,8,38,8457
CUST-1345,50,139,26,12,9859
CUST-1346,65,116,51,23,6254
CUST-1347,29,21,45,42,5520
CUST-1348,68,60,44,22,9020
CUST-1349,39,27,5,21,2143
CUST-1350,39,54,70,27,4297
CUST-1351,63,56,26,31,3596
CUST-1352,47,23,68,6,878
CUST-1353,55,64,19,27,313
CUST-1354,55,41,84,40,3862
CUST-1355,62,136,97,34,9868
CUST-1356,68,80,20,12,6831
CUST-1357,25,19,12,45,3217
CUST-1358,44,43,47,7,5891
CUST-1359,44,51,1,10,8883
CUST-1360,51,52,90,45,2820
CUST-1361,38,97,14,17,9005
CUST-1362,47,22,64,26,9227
CUST-1363,50,126,38,21,6147
CUST-1364,45,123,37,28,8132
CUST-1365,64,79,11,46,101
CUST-1366,50,100,77,2,6468
CUST-1367,22,130,3,43,2049
CUST-1368,65,31,33,1,6832
CUST-1369,36,85,6,36,7933
CUST-1370,21,103,50,26,1017
CUST-1371,52,59,10,29,3274
CUST-1372,66,18,5,21,7114
CUST-1373,34,50,23,11,189
CUST-1374,61,84,10,40,1809
CUST-1375,45,138,44,11,3141
CUST-1376,47,45,2,36,205
CUST-1377,46,33,13,49,9178
CUST-1378,63,75,40,39,8719
CUST-1379,23,122,2,40,1995
CUST-1380,52,68,84,35,6190
CUST-1381,58,53,65,34,8608
CUST-1382,54,105,63,47,6182
CUST-1383,41,88,73,24,734
CUST-1384,46,104,17,22,2025
CUST-1385,66,33,9,5,2156
CUST-1386,63,53,75,33,7017
CUST-1387,48,81,15,36,3244
CUST-1388,52,59,24,47,9731
CUST-1389,50,27,38,20,652
CUST-1390,69,128,35,19,9007
CUST-1391,38,106,94,35,5483
CUST-1392,49,72,95,43,4011
CUST-1393,40,34,49,17,3489
CUST-1394,50,106,69,45,9399
CUST-1395,20,86,62,43,8542
CUST-1396,35,75,60,34,2530
CUST-1397,42,119,50,9,558
CUST-1398,59,53,78,26,307
CUST-1399,48,15,75,2,999
